Ano,Categoria,Produto,Quantidade(L.)
1976,DERIVADOS,Vinho orgânico,-
1976,DERIVADOS,Espumante orgânico,-
1976,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1976,DERIVADOS,Vinho acidificado,-
1976,DERIVADOS,Mosto parcialmente fermentado,-
1976,DERIVADOS,Outros derivados,-
1977,VINHO DE MESA,-,195.359.778
1977,VINHO DE MESA,Tinto,154.801.826
1977,VINHO DE MESA,Branco,4.954.387
1977,VINHO DE MESA,Rosado,35.603.565
1977,VINHO FINO DE MESA (VINIFERA),-,41.264.971
1977,VINHO FINO DE MESA (VINIFERA),Tinto,16.131.758
1977,VINHO FINO DE MESA (VINIFERA),Branco,20.409.231
1977,VINHO FINO DE MESA (VINIFERA),Rosado,4.723.982
1977,SUCO,-,-
1977,SUCO,Suco de uva integral,-
1977,SUCO,Suco de uva concentrado,-
1977,SUCO,Suco de uva adoçado,-
1977,SUCO,Suco de uva orgânico,-
1977,SUCO,Suco de uva reconstituído,-
1977,DERIVADOS,-,24.015.856
1977,DERIVADOS,Espumante,-
1977,DERIVADOS,Espumante moscatel,-
1977,DERIVADOS,Base espumante,-
1977,DERIVADOS,Base espumante moscatel,-
1977,DERIVADOS,Base Champenoise champanha,-
1977,DERIVADOS,Base Charmat champanha,-
1977,DERIVADOS,Bebida de uva,-
1977,DERIVADOS,Polpa de uva,-
1977,DERIVADOS,Mosto simples,22.097.156
1977,DERIVADOS,Mosto concentrado,-
1977,DERIVADOS,Mosto de uva com bagaço,-
1977,DERIVADOS,Mosto dessulfitado,-
1977,DERIVADOS,Mistelas,553.200
1977,DERIVADOS,Néctar de uva,-
1977,DERIVADOS,Licorosos,525.000
1977,DERIVADOS,Compostos,-
1977,DERIVADOS,Jeropiga,12.500
1977,DERIVADOS,Filtrado,-
1977,DERIVADOS,Frisante,-
1977,DERIVADOS,Vinho leve,-
1977,DERIVADOS,Vinho licoroso,-
1977,DERIVADOS,Brandy,-
1977,DERIVADOS,Destilado,-
1977,DERIVADOS,Bagaceira,828.000
1977,DERIVADOS,Licor de bagaceira,-
1977,DERIVADOS,Vinagre,-
1977,DERIVADOS,Borra líquida,-
1977,DERIVADOS,Borra seca,-
1977,DERIVADOS,Vinho Composto,-
1977,DERIVADOS,Pisco,-
1977,DERIVADOS,Vinho orgânico,-
1977,DERIVADOS,Espumante orgânico,-
1977,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1977,DERIVADOS,Vinho acidificado,-
1977,DERIVADOS,Mosto parcialmente fermentado,-
1977,DERIVADOS,Outros derivados,-
1978,VINHO DE MESA,-,200.053.669
1978,VINHO DE MESA,Tinto,162.917.363
1978,VINHO DE MESA,Branco,5.079.748
1978,VINHO DE MESA,Rosado,32.056.558
1978,VINHO FINO DE MESA (VINIFERA),-,36.750.933
1978,VINHO FINO DE MESA (VINIFERA),Tinto,15.000.671
1978,VINHO FINO DE MESA (VINIFERA),Branco,17.640.081
1978,VINHO FINO DE MESA (VINIFERA),Rosado,4.110.181
1978,SUCO,-,-
1978,SUCO,Suco de uva integral,-
1978,SUCO,Suco de uva concentrado,-
1978,SUCO,Suco de uva adoçado,-
1978,SUCO,Suco de uva orgânico,-
1978,SUCO,Suco de uva reconstituído,-
